year,avg_distance,count
2010,2.3695050247145013,6177
2011,2.440924091524924,7015
2012,2.5064307695590182,6532
2013,2.4394709071120304,2981
2014,2.430237716500078,3411
2015,2.437360630177923,4245
2016,2.475067163923481,5120
2017,2.392517341890208,7786
2018,2.3932938217208815,5687
2019,2.430318681721057,7129
2020,2.203735905873358,2492
2021,2.3536203244199423,9745
2022,2.1706427073053316,7035
2023,2.274727877851746,9202
