year,avg_distance,count
2010,2.7134869810281597,6177
2011,2.7611495847840564,7015
2012,2.8363597668618117,6532
2013,2.6864016665910793,2981
2014,2.732120193529013,3411
2015,2.662512563425316,4245
2016,2.70484432028355,5120
2017,2.7245073574689544,7786
2018,2.6816771012270593,5687
2019,2.7401139980376112,7129
2020,2.4123735883086264,2492
2021,2.64043643696616,9745
2022,2.4678685463818884,7035
2023,2.55664970625712,9202
